id,congresista_id,tipo_investigacion_id,descripcion,activo,usercreated,usermodifed,created_at,updated_at
13,233,50,"La Corte Suprema de Justicia le dictó medida de aseguramiento  por su presunta participación en el delito de desplazamiento forzado (07NOV12). Los hechos motivo de investigación que se desencadenaron en la incursión paramilitar del 2000 en la región de los Montes de María en la denominada masacre de Macayepo. Fue condenado a 40 años de prisión (23FEB10). DETENIDO (17NOV07)e investigado en el proceso de la PARAPOLÍTICA. Renunció a su curul (19JUL07).

http://www.elespectador.com/articulo189355-condenan-40-anos-ex-senador-alvaro-garcia
Visto: enero 28/13",TRUE,NA,NA,2010-02-15T21:30:51Z,2013-02-01T14:22:39Z
14,1300,3,"Condenado a 7 años por el delito de concierto para delinquir, por haber asistido y firmado a la polémica reunión de Ralito, que convocó y presidió el extraditado jefe paramilitar Salvatore Mancuso. Renunció a su curul (19JUL07). ACEPTÓ CARGOS en el proceso de la PARAPOLÍTICA. Quedó en LIBERTAD luego de cumplir 3/5 partes de su pena (23DIC08).

http://www.elespectador.com/articulo101676-ex-congresista-miguel-de-espriella-quedo-libertad
Visto: enero 28/13

Deberá pedir perdón a la sociedad por orden de un juez (01FEB13).
http://www.elespectador.com/noticias/nacional/articulo-402307-dos-excongresistas-condenados-parapolitica-le-deberan-pedir-perd
Visto: febrero 01/13",TRUE,NA,NA,2010-02-15T21:40:44Z,2013-02-01T16:10:05Z
15,121,3,"Con libertad condicional (15NOV12) por haber cumplido las tres quintas partes de la pena impuesta. Condenado a 7 años y seis meses (21FEB11). Fue RECAPTURADO y le fue reabierta la investigación (FEB2410). En su momento fue liberado por orden de la Fiscalía, aunque su investigación siguió en curso (19AGOS08). Estuvo DETENIDO e investigado en el proceso de la PARAPOLÍTICA (21ABR08 - 19AGOS08). Renunció a su curul (01OCT07)

http://www.eltiempo.com/justicia/alias-el-tuso-salpica-a-mario-uribe-desde-estados-unidos_8062604-4
Visto: enero 28/13
http://www.elespectador.com/noticias/judicial/articulo-252237-mario-uribe-condenado-7-anos-y-seis-meses-de-carcel
Visto: enero 28/13
http://www.elespectador.com/noticias/judicial/articulo-387147-otorgan-libertad-condicional-mario-uribe-escobar
Visto: enero 28/13",TRUE,NA,NA,2010-02-15T21:45:12Z,2013-02-01T14:20:35Z
18,737,3,"Después de cumplir las dos terceras partes de su condena, quedó en libertad (30JUN11). DETENIDO (ABR08) y CONDENADO a 7 años de prisión en el proceso de la PARAPOLÍTICA (26ENE10). Renunció a la curul (07OCT07).

http://www.elespectador.com/noticias/judicial/articulo-281035-libertad-excongresista-vicente-blel
Visto: enero 30/13",TRUE,NA,NA,2010-02-15T21:51:49Z,2013-01-30T16:03:31Z
21,280,114,"La Procuraduría absolvió al excongresista risaraldense Habib Merheg por sus presuntos nexos con el paramilitarismo (14JUL14). La Corte Suprema ordenó la captura del exsenador de la República, Habib Merheg por sus presuntos nexos con grupos paramilitares. (22OCT13). La Procuraduría General de la Nación formuló cargos contra el exsenador Habib Merheg Marún, (08JUN11) como autor de la falta disciplinaria gravisima, porque en su condición de servidor público tuvo vínculos con grupos al margen de la ley comúnmente denominados paramilitares. MERHEG HABIB está en  INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA. Fue detenido el (12MAY09). Renunció a su curul (12MAY09).

http://elespectador.com/noticias/judicial/articulo-275960-parapolitica-investigacion-disciplinaria-excongresista-merehg-y
Visto: enero 30/13
http://www.eltiempo.com/justicia/reviven-lios-judiciales-del-exsenador-merheg_12335404-4
Visto: enero 30/13
http://www.elcolombiano.com/BancoConocimiento/C/corte_suprema_ordeno_la_captura_de_habib_merheg_por_vinculos_con_los_paramilitares/corte_suprema_ordeno_la_captura_de_habib_merheg_por_vinculos_con_los_paramilitares.asp
Tomado: octubre 22/13
Tomado: julio14/14",TRUE,NA,NA,2010-02-15T22:04:20Z,2014-07-14T13:29:46Z
22,2081,2,"La Corte Suprema de Justicia ordenó medida de aseguramiento en su contra por sus presuntos nexos con el Bloque Catatumbo de las autodefensa, por haber brindado y recibido apoyo de esta organización ilegal. (24MAY18). Estuvo en INDAGACIÓN PRELIMINAR dentro del proceso de la PARAPOLITICA. La Fiscalía no encontró méritos para abrir un proceso penal por supuesta conformación de grupos al margen de la ley y narcotráfico. (31MAY07).

http://www.eltiempo.com/archivo/documento/CMS-3578468
Visto: enero 28/13",TRUE,NA,NA,2010-02-15T22:05:02Z,2018-05-25T16:51:44Z
23,237,3,"Quedó libre (02MAR12) en calidad de libertad condicional al cumplir las tres quintas partes de la condena. Fue condenado a 7 años y medio de prisión por el delito de concierto para delinquir agravado, por sus vínculos con grupos paramilitares (18ENE12). Llamado a juicio (21JUL09) como presunto responsable de concierto para delinquir agravado y constreñimiento al elector. DETENIDO dentro del proceso de la PARAPOLITICA  (24NOV08) y fue LLAMADO A INDAGATORIA dentro del proceso de la PARAPOLITICA el (25JUL07). Renunció a su curul (11OCT07). La Procuraduría General de la Nación lo destituyó e inhabilitó  para el ejercicio de funciones públicas por espacio de 20 años (11JUL11). La Procuraduría ratificó su fallo (16NOV11) de 20 años de inhabilidad para ejercer cargos públicos.

http://www.elespectador.com/noticias/judicial/articulo-321666-condenado-90-meses-de-prision-luis-alberto-gil-parapolitica
Visto: enero 28/13
http://elespectador.com/noticias/judicial/articulo-283499-parapolitica-destituido-excongresista-luis-gil
Visto: enero 28/13
http://www.elespectador.com/noticias/judicial/articulo-311568-procuraduria-confirmo-destitucion-de-20-anos-contra-exsenador-lu
Visto: enero 28/13",TRUE,NA,NA,2010-02-15T22:06:11Z,2013-02-01T14:10:11Z
24,1006,3,"En libertad por vencimiento de términos (27FEB13), pero permanece detenido por el delito de fraude electoral. Fue destituido e inhabilitado por 20 años para ejercer cargos públicos en el marco del proceso que se le adelantaba por sus nexos con el Bloque Calima de las Autodefensas Unidas de Colombia (AUC). (23ABR14). La Procuraduría le abrió investigación disciplinaria para establecer si la campaña política del ahora excongresista estuvo apoyada por narcotraficantes del Valle del Cauca (23JUL12). La Fiscalía le dictó medida de aseguramiento por tráfico de drogas (27JUN12). Fue dejado en libertad (26JUN12) luego de cumplir las tres cuartas partes de su condena por sus nexos con paramilitares. La Corte Suprema de Justicia lo condenó a 90 meses de prisión por vínculos con el Bloque Calima de las Autodefensas (08JUN11). Fue llamado a juicio (09DIC09). Fue DETENIDO (23ABRL09) e INVESTIGADO dentro del proceso de la PARAPOLITICA (10SEPT08); fue llamado a VERSIÓN LIBRE por OTRO caso de PARAPOLÍTICA (23SEPT08).
http://www.elespectador.com/noticias/judicial/articulo-407266-decretan-libertad-juan-carlos-martinez-proceso-narcotrafico


http://www.elespectador.com/noticias/judicial/articulo-361961-abren-investigacion-disciplinaria-contra-martinez-sinisterra-par
Visto: enero 28/13
http://www.elespectador.com/noticias/judicial/articulo-355639-dictan-nueva-medida-de-aseguramiento-contra-juan-carlos-martinez
Visto: enero 28/13
http://www.elespectador.com/noticias/judicial/articulo-275922-condenan-parapolitica-exsenador-martinez-sinisterra
Visto: enero 28/13
http://www.elespectador.com/noticias/judicial/procuraduria-sanciono-excongresista-martinez-sinisterra-articulo-488313
Tomado: abril 23/14",TRUE,NA,NA,2010-02-15T22:09:33Z,2014-04-23T14:57:56Z
27,140,3,"Ante el Consejo de Estado el exsenador Luis Eduardo Vives Lacouture solicitó que se anule la sanción disciplinaria interpuesta por la Procuraduría General en su contra por vínculos con grupos paramilitares (12ABR13). CONDENADO a siete años de prisión y $923 millones en el proceso de la PARAPOLÍTICA (01AGO08). Se le dio casa por cárcel alegando ser padre cabeza de familia (9ENE09) pero se rebocó la medida al no demostrar la situación de cabeza de hogar (10MAR09). Renunció a la curul (27NOV07).

http://www.elespectador.com/noticias/judicial/articulo-415526-exsenador-luis-eduardo-vives-lacouture-pide-se-anule-fallo-disci
Tomado: abril 12/13

http://www.elespectador.com/parapolitica/articulo-luis-eduardo-vives-condenado-siete-anos-parapolitica
Visto: enero 30/13",TRUE,NA,NA,2010-02-15T22:24:46Z,2013-04-12T16:56:58Z
29,1606,12,"El Consejo de Estado determinó que al momento de su elección, su tio, Néstor Diaz Saavedra, era funcionario de la DIAN (11FEB08).

Visto: enero 31/13",TRUE,NA,NA,2010-02-15T22:34:40Z,2019-05-30T20:26:20Z
