id|votacion_id|corporacion_id|tipo_comision_id|comision_id|activo|usercreated|usermodifed|created_at|updated_at
8246|9113|NA|1|2|1|NA|NA|NA|NA
8247|9114|1|1|2|1|NA|NA|NA|NA
8248|9122|2|1|6|1|NA|NA|NA|NA
8652|9619|1|1|11|1|NA|NA|NA|NA
8653|9619|1|1|4|1|NA|NA|NA|NA
8252|9124|2|1|6|1|NA|NA|NA|NA
8254|9125|2|1|6|1|NA|NA|NA|NA
8256|9126|1|1|6|1|NA|NA|NA|NA
8261|9130|2|1|6|1|NA|NA|NA|NA
8263|9131|2|1|6|1|NA|NA|NA|NA
8265|9133|2|1|6|1|NA|NA|NA|NA
8267|9134|2|1|6|1|NA|NA|NA|NA
8271|9135|2|1|6|1|NA|NA|NA|NA
8274|9136|2|1|6|1|NA|NA|NA|NA
8276|9137|2|1|6|1|NA|NA|NA|NA
8278|9138|2|1|6|1|NA|NA|NA|NA
8279|9141|2|1|6|1|NA|NA|NA|NA
8281|9142|2|1|6|1|NA|NA|NA|NA
8282|9143|2|1|6|1|NA|NA|NA|NA
8284|9144|2|1|6|1|NA|NA|NA|NA
8286|9145|2|1|6|1|NA|NA|NA|NA
8289|9107|NA|1|6|1|NA|NA|NA|NA
8290|9128|2|1|6|1|NA|NA|NA|NA
8291|9123|2|1|6|1|NA|NA|NA|NA
8292|9129|1|1|6|1|NA|NA|NA|NA
8297|9177|1|1|4|1|NA|NA|NA|NA
8300|9178|1|1|4|1|NA|NA|NA|NA
8302|9179|1|1|4|1|NA|NA|NA|NA
8308|9180|1|1|4|1|NA|NA|NA|NA
8309|9181|1|1|4|1|NA|NA|NA|NA
8311|9182|1|1|4|1|NA|NA|NA|NA
8312|9183|1|1|6|1|NA|NA|NA|NA
8313|9184|1|1|4|1|NA|NA|NA|NA
8315|9185|1|1|4|1|NA|NA|NA|NA
8317|9186|1|1|4|1|NA|NA|NA|NA
8319|9187|1|1|4|1|NA|NA|NA|NA
8321|9188|1|1|4|1|NA|NA|NA|NA
8323|9189|1|1|4|1|NA|NA|NA|NA
8324|9205|1|1|6|1|NA|NA|NA|NA
8325|9111|NA|1|6|1|NA|NA|NA|NA
8326|9206|1|1|3|1|NA|NA|NA|NA
8328|9207|1|1|3|1|NA|NA|NA|NA
8332|9209|1|1|3|1|NA|NA|NA|NA
8333|9208|1|1|3|1|NA|NA|NA|NA
8334|9349|2|1|8|1|NA|NA|NA|NA
8335|9349|2|1|10|1|NA|NA|NA|NA
8336|9349|2|1|12|1|NA|NA|NA|NA
8337|9349|2|1|13|1|NA|NA|NA|NA
8342|9350|2|1|8|1|NA|NA|NA|NA
8343|9350|2|1|10|1|NA|NA|NA|NA
8344|9350|2|1|12|1|NA|NA|NA|NA
8345|9350|2|1|13|1|NA|NA|NA|NA
8354|9351|2|1|8|1|NA|NA|NA|NA
8355|9351|2|1|10|1|NA|NA|NA|NA
8356|9351|2|1|12|1|NA|NA|NA|NA
8357|9351|2|1|13|1|NA|NA|NA|NA
8362|9352|2|1|8|1|NA|NA|NA|NA
8363|9352|2|1|10|1|NA|NA|NA|NA
8364|9352|2|1|12|1|NA|NA|NA|NA
8365|9352|2|1|13|1|NA|NA|NA|NA
8366|9356|NA|1|10|1|NA|NA|NA|NA
8367|9358|2|1|3|1|NA|NA|NA|NA
8369|9359|2|1|3|1|NA|NA|NA|NA
8371|9360|2|1|3|1|NA|NA|NA|NA
8373|9361|1|1|3|1|NA|NA|NA|NA
8375|9362|1|1|3|1|NA|NA|NA|NA
8377|9363|2|1|3|1|NA|NA|NA|NA
8379|9364|2|1|3|1|NA|NA|NA|NA
8382|9366|1|1|3|1|NA|NA|NA|NA
8383|9365|1|1|3|1|NA|NA|NA|NA
8385|9367|1|1|3|1|NA|NA|NA|NA
8419|9380|2|1|7|1|NA|NA|NA|NA
8420|9379|2|1|7|1|NA|NA|NA|NA
8421|9378|2|1|7|1|NA|NA|NA|NA
8422|9377|2|1|7|1|NA|NA|NA|NA
8423|9376|2|1|7|1|NA|NA|NA|NA
8424|9374|2|1|7|1|NA|NA|NA|NA
8425|9373|2|1|7|1|NA|NA|NA|NA
8426|9372|2|1|7|1|NA|NA|NA|NA
8427|9371|2|1|7|1|NA|NA|NA|NA
8428|9370|2|1|7|1|NA|NA|NA|NA
8430|9381|2|1|7|1|NA|NA|NA|NA
8432|9386|2|1|7|1|NA|NA|NA|NA
8434|9387|2|1|7|1|NA|NA|NA|NA
8436|9388|2|1|7|1|NA|NA|NA|NA
8438|9389|2|1|7|1|NA|NA|NA|NA
8439|9390|NA|1|9|1|NA|NA|NA|NA
8440|9391|1|1|1|1|NA|NA|NA|NA
8442|9409|1|1|1|1|NA|NA|NA|NA
8443|9408|1|1|2|1|NA|NA|NA|NA
8444|9578|1|1|1|1|NA|NA|NA|NA
8446|9581|NA|1|10|1|NA|NA|NA|NA
8449|9586|1|1|5|1|NA|NA|NA|NA
8450|9587|1|1|5|1|NA|NA|NA|NA
8452|9588|1|1|5|1|NA|NA|NA|NA
8464|9594|1|1|5|1|NA|NA|NA|NA
8466|9595|1|1|5|1|NA|NA|NA|NA
8468|9593|1|1|5|1|NA|NA|NA|NA
8469|9592|1|1|5|1|NA|NA|NA|NA
8471|9596|1|1|5|1|NA|NA|NA|NA
8474|9598|1|1|5|1|NA|NA|NA|NA
8475|9601|2|1|12|1|NA|NA|NA|NA
8487|9610|2|1|7|1|NA|NA|NA|NA
8489|9608|2|1|7|1|NA|NA|NA|NA
8532|9646|2|1|7|1|NA|NA|NA|NA
8570|9659|1|1|4|1|NA|NA|NA|NA
8600|9673|2|1|1|1|NA|NA|NA|NA
8535|9647|2|1|7|1|NA|NA|NA|NA
8537|9648|2|1|7|1|NA|NA|NA|NA
8654|9628|1|1|11|1|NA|NA|NA|NA
8539|9649|2|1|7|1|NA|NA|NA|NA
8655|9628|1|1|4|1|NA|NA|NA|NA
8541|9650|2|1|7|1|NA|NA|NA|NA
8690|9721|1|1|3|1|NA|NA|NA|NA
8691|9721|1|1|6|1|NA|NA|NA|NA
8704|9728|1|1|7|1|NA|NA|NA|NA
8706|9729|1|1|7|1|NA|NA|NA|NA
8708|9730|1|1|7|1|NA|NA|NA|NA
8712|9731|2|1|7|1|NA|NA|NA|NA
8713|9732|2|1|7|1|NA|NA|NA|NA
8715|9733|2|1|7|1|NA|NA|NA|NA
8716|9734|2|1|7|1|NA|NA|NA|NA
8718|9735|2|1|7|1|NA|NA|NA|NA
8720|9736|2|1|7|1|NA|NA|NA|NA
8721|9737|1|1|3|1|NA|NA|NA|NA
8725|9738|1|1|3|1|NA|NA|NA|NA
8727|9739|1|1|3|1|NA|NA|NA|NA
8729|9740|1|1|3|1|NA|NA|NA|NA
8731|9741|1|1|3|1|NA|NA|NA|NA
8739|9744|2|1|14|1|NA|NA|NA|NA
8740|9698|NA|1|10|1|NA|NA|NA|NA
8779|9771|NA|1|9|1|NA|NA|NA|NA
8781|9773|2|1|9|1|NA|NA|NA|NA
8783|9774|NA|1|9|1|NA|NA|NA|NA
8914|9882|1|1|4|1|NA|NA|NA|NA
8915|9883|1|1|4|1|NA|NA|NA|NA
8916|9884|1|1|4|1|NA|NA|NA|NA
8920|9885|2|1|4|1|NA|NA|NA|NA
8921|9886|2|1|4|1|NA|NA|NA|NA
8922|9887|2|1|4|1|NA|NA|NA|NA
8923|9888|1|1|4|1|NA|NA|NA|NA
8924|9889|1|1|4|1|NA|NA|NA|NA
8925|9890|1|1|4|1|NA|NA|NA|NA
8951|9869|1|1|14|1|NA|NA|NA|NA
8977|9849|1|1|14|1|NA|NA|NA|NA
8993|9830|1|1|14|1|NA|NA|NA|NA
9009|9896|1|4|17|1|NA|NA|NA|NA
9010|9896|1|1|7|1|NA|NA|NA|NA
9013|9900|1|1|1|1|NA|NA|NA|NA
9014|9900|1|1|7|1|NA|NA|NA|NA
9017|9904|1|1|1|1|NA|NA|NA|NA
9018|9904|1|1|7|1|NA|NA|NA|NA
9028|9922|1|1|1|1|NA|NA|NA|NA
9029|9922|1|1|7|1|NA|NA|NA|NA
9032|9923|1|1|1|1|NA|NA|NA|NA
9033|9923|1|1|7|1|NA|NA|NA|NA
9034|9924|1|1|1|1|NA|NA|NA|NA
9035|9924|1|1|7|1|NA|NA|NA|NA
9038|9925|1|1|1|1|NA|NA|NA|NA
