id,nombre,activo,usercreated,usermodifed,created_at,updated_at
1,Proyecto de Ley,1,NA,NA,NA,NA
2,Proyecto Acto Legislativo,1,NA,NA,NA,NA
3,Proyecto de ley Estatutaria,1,NA,NA,NA,NA
