id|cuatrienio_id|comision_id|congresista_id|cargo_legislativo_id_comision|fecha_inicio|fecha_fin|activo|usercreated|usermodifed|created_at|updated_at
50|1|12|17|NA|26-04-1999|26-10-1999|1|NA|NA|17-01-2010 17:29|23-09-2011 16:10
51|1|4|7|NA|10-03-2000|10-06-2000|1|NA|NA|17-01-2010 17:29|06-10-2011 21:50
52|1|4|3|NA|01-08-2001|31-10-2001|1|NA|NA|17-01-2010 17:29|04-10-2011 19:50
53|1|4|2546|NA|01-08-2001|31-10-2001|1|NA|NA|17-01-2010 17:29|04-10-2011 19:50
54|1|4|88|NA|20-07-1998|04-03-1999|1|NA|NA|17-01-2010 17:29|05-10-2011 18:39
55|1|10|55|NA|25-11-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|10-10-2011 20:58
56|1|12|124|NA|29-07-1999|28-10-1999|1|NA|NA|17-01-2010 17:29|11-10-2011 20:06
57|1|7|72|NA|09-09-1999|31-12-1999|1|NA|NA|17-01-2010 17:29|22-09-2010 21:00
58|1|7|954|NA|09-09-1999|31-12-1999|1|NA|NA|17-01-2010 17:29|22-09-2010 21:00
59|1|7|1801|NA|09-09-1999|31-12-1999|1|NA|NA|17-01-2010 17:29|22-09-2010 21:00
60|1|7|2199|NA|09-09-1999|31-12-1999|1|NA|NA|17-01-2010 17:29|22-09-2010 21:00
61|1|7|1036|NA|09-09-1999|31-12-1999|1|NA|NA|17-01-2010 17:29|22-09-2010 21:00
62|2|12|1093|NA|20-07-2006|25-09-2007|1|NA|NA|18-01-2010 23:29|08-04-2010 17:35
63|2|12|1411|NA|20-07-2006|25-09-2007|1|NA|NA|18-01-2010 23:29|08-04-2010 17:35
64|1|7|54|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|22-09-2010 19:30
65|1|4|69|NA|01-09-2001|30-11-2001|1|NA|NA|17-01-2010 17:29|11-10-2011 21:10
66|1|12|76|NA|20-07-1999|20-07-2000|1|NA|NA|17-01-2010 17:29|11-10-2011 21:33
67|1|7|573|NA|20-07-2000|19-07-2002|1|NA|NA|17-01-2010 17:29|12-10-2011 20:27
68|1|7|95|NA|20-07-2000|19-07-2002|1|NA|NA|17-01-2010 17:29|12-10-2011 20:27
69|1|9|45|NA|16-12-1999|16-12-2000|1|NA|NA|17-01-2010 17:29|12-10-2011 22:09
70|1|6|132|NA|06-03-1999|15-09-1999|1|NA|NA|17-01-2010 17:29|13-10-2011 19:44
71|1|2|58|NA|01-02-2000|31-10-2000|1|NA|NA|17-01-2010 17:29|18-10-2011 19:14
72|1|7|59|NA|01-10-1999|31-12-1999|1|NA|NA|17-01-2010 17:29|19-10-2011 18:22
73|1|9|102|NA|01-09-2000|30-11-2000|1|NA|NA|17-01-2010 17:29|19-10-2011 21:15
74|1|7|13|NA|01-01-2000|31-10-2000|1|NA|NA|17-01-2010 17:29|24-10-2011 18:45
75|1|7|6|NA|01-07-2001|30-09-2001|1|NA|NA|17-01-2010 17:29|25-10-2011 18:21
76|1|6|39|NA|02-11-1999|29-02-2000|1|NA|NA|17-01-2010 17:29|04-05-2012 18:56
77|1|7|93|NA|01-03-2000|31-05-2000|1|NA|NA|17-01-2010 17:29|04-05-2012 19:38
78|1|2|8|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|25-05-2010 18:05
79|1|2|523|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|25-05-2010 18:05
80|1|2|1161|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|25-05-2010 18:05
81|4|12|1480|NA|20-07-2002|19-07-2006|1|NA|NA|10-02-2010 14:57|17-03-2010 21:00
82|4|12|1482|NA|20-07-2002|19-07-2006|1|NA|NA|10-02-2010 14:57|17-03-2010 21:00
83|4|12|1481|NA|20-07-2002|19-07-2006|1|NA|NA|10-02-2010 14:57|17-03-2010 21:00
84|4|12|1708|NA|20-07-2002|19-07-2006|1|NA|NA|10-02-2010 14:57|17-03-2010 21:00
85|4|12|2276|NA|20-07-2002|19-07-2006|1|NA|NA|10-02-2010 14:57|17-03-2010 21:00
86|1|13|50|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
87|1|13|552|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
88|1|13|1160|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
89|4|14|1497|NA|20-07-2002|08-07-2005|1|NA|NA|11-02-2010 14:41|25-05-2010 18:29
90|4|14|1496|NA|20-07-2002|08-07-2005|1|NA|NA|11-02-2010 14:41|25-05-2010 18:29
91|4|14|1325|NA|20-07-2002|08-07-2005|1|NA|NA|11-02-2010 14:41|25-05-2010 18:29
92|4|14|1680|NA|20-07-2002|08-07-2005|1|NA|NA|11-02-2010 14:41|25-05-2010 18:29
93|1|2|63|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|29-04-2010 14:24
94|1|2|561|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|29-04-2010 14:24
95|1|2|11|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|02-06-2010 16:58
96|1|2|525|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|02-06-2010 16:58
97|1|4|14|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|02-06-2010 17:28
98|1|8|35|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|03-06-2010 18:34
99|1|5|115|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|28-09-2010 17:19
100|1|14|22|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|21-09-2010 20:35
101|1|8|130|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|28-09-2010 20:03
102|1|11|137|NA|20-07-1998|02-03-2002|1|NA|NA|17-01-2010 17:29|04-06-2010 15:29
103|1|11|582|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|28-09-2010 17:18
104|1|11|2331|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|28-09-2010 17:18
105|1|11|2371|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|28-09-2010 17:18
106|1|13|80|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|24-09-2010 15:07
107|1|2|29|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 19:05
108|1|2|1850|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 19:05
109|4|9|61|NA|20-07-2002|19-07-2006|1|NA|NA|17-01-2010 17:29|30-08-2010 15:43
110|4|9|560|NA|20-07-2002|19-07-2006|1|NA|NA|17-01-2010 17:29|30-08-2010 15:43
111|4|9|1134|NA|20-07-2002|19-07-2006|1|NA|NA|17-01-2010 17:29|30-08-2010 15:43
112|4|9|1780|NA|20-07-2002|19-07-2006|1|NA|NA|17-01-2010 17:29|30-08-2010 15:43
113|1|7|79|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 16:00
114|1|7|568|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 16:00
115|1|4|48|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 17:20
116|1|4|551|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 17:20
117|1|9|12|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 18:26
118|1|9|526|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 18:26
119|1|9|1091|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 18:26
120|1|10|81|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 18:30
121|1|10|569|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 18:30
122|1|10|1075|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 18:30
123|1|1|67|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 19:19
124|1|1|564|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 19:19
125|1|1|97|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|27-09-2010 22:04
126|1|1|574|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|27-09-2010 22:04
127|1|13|114|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 19:36
128|1|13|1706|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 19:36
129|1|13|583|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 19:36
130|1|8|9|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 19:47
131|1|8|524|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 19:47
132|1|10|51|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 19:48
133|1|10|553|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 19:48
134|1|14|24|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 20:33
135|1|14|1906|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|30-08-2010 20:33
136|1|6|531|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|21-09-2010 20:14
137|1|6|19|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|21-09-2010 20:14
138|1|12|1956|NA|20-07-1998|01-04-2001|1|NA|NA|17-01-2010 17:29|01-03-2011 21:52
139|1|4|27|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|21-09-2010 20:45
140|1|2|30|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|21-09-2010 21:08
141|1|7|36|NA|20-07-1998|12-10-1999|1|NA|NA|17-01-2010 17:29|24-09-2010 15:38
142|1|4|44|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|22-09-2010 17:03
143|1|12|49|NA|09-09-1999|31-12-1999|1|NA|NA|17-01-2010 17:29|22-09-2010 18:33
144|1|5|70|NA|09-09-1999|31-12-1999|1|NA|NA|17-01-2010 17:29|22-09-2010 20:54
