id|agenda_legislativa_actividad_id|cuatrienio_id|legislatura_id|tipo_control_politico_id|estado_control_politico_id|titulo|fecha|tema_principal_id|tema_secundario_id|plenaria|tags|detalles|gacetas|numero_proposicion|activo|usercreated|usermodifed|created_at|updated_at
5041|99207|8|NA|2|NA|Tema: Proyecto de Ley Estatutaria No. 134 de 2020 Cámara “Por la cual se crea una Especialidad Judicial Agraria y Rural, se establecen los mecanismos para la resolución de Controversias y Litigios Agrarios y Rurales y se dictan otras disposiciones.|NA|11|5|FALSE|justicia rural|NA|1533/20|NA|NA|NA|NA|NA|NA
5042|99277|8|NA|2|NA|Tema: Proyecto de Ley No. 133 de 2020 Cámara “Por el cual se regula la Creación, Conformación y Funcionamiento de las Comisarías de Familia, se establece el Órgano Rector y se dictan otras disposiciones”.|NA|122|95|FALSE|comisarias de familia|NA|1536/20|NA|NA|NA|NA|NA|NA
5043|99274|8|NA|2|NA|Tema: Proyecto de Ley No. 050 de 2020 Cámara “Por medio de la cual se establecen medidas para prevenir y erradicar la violencia contra las mujeres en la vida política y se dictan otras disposiciones”.|NA|55|130|FALSE|participacion politica de la mujer|NA|1535/20|NA|NA|NA|NA|NA|NA
5044|99231|8|27|1|NA|Se exponga la situación actual del sector papero en el país.|30/09/2020|8|64|FALSE|sector papero|NA|49/21|25|NA|NA|NA|NA|NA
5045|97709|7|NA|1|NA|Sustentación de los informes presupuestales 2021 del Servicio Nacional de Aprendizaje – SENA -, para los efectos de las recomendaciones a las cuales alude el artículo cuarto (4º) de la Ley Tercera de 1992.|NA|133|2|FALSE|pgn, presupuesto, sena|NA|845/20|NA|NA|NA|NA|NA|NA
5046|99283|8|27|1|NA|Debate de control político sobre el fenómeno de deforestación que se viene presentando en los departamentos del Meta y Guaviare, así como en el resto del país.|22/07/2020|3|5|FALSE|deforestacion|NA|1455/20|10|NA|NA|NA|NA|NA
5047|101336|8|NA|1|NA|Debate de control político sobre el gasto en el sector educación y la eficiencia en la ejecución de dichos recursos en pro de mejorar la cobertura y calidad de educación en el país.|NA|2|41|FALSE|gasto en educacion|NA|NA|NA|NA|NA|NA|NA|NA
5048|97829|8|NA|1|NA|Sustentación de los informes presupuestales 2021 del DPS y Supersubsidio Familiar, para los efectos de las recomendaciones a las cuales alude el artículo cuarto (4º) de la Ley Tercera de 1992.|NA|133|116|FALSE|pgn, subsidio familiar, prosperidad social|NA|953/20|NA|NA|NA|NA|NA|NA
5049|99432|8|27|1|NA|La Agencia Nacional de Seguridad Vial “ANSV presente un informe de rendición de cuentas de los dos años de gobierno, en el que se incluya ejecución presupuestal, objetivos, metas, logros, etc|27/07/2020|100|138|FALSE|agencia de seguridad vial|NA|NA|1|NA|NA|NA|NA|NA
5050|99475|8|NA|1|NA|"¿Cómo se está preparando el país ante la llegada de la eventual vacuna contra la COVID-19?
"|NA|10|128|FALSE|vacuna covid 19|NA|NA|NA|NA|NA|NA|NA|NA
5051|99474|8|27|1|NA|Trata de personas y explotación sexual comercial de mujeres, niños, niñas y adolescentes.|28/07/2020|95|123|FALSE|explotacion sexual de menores|NA|NA|5|NA|NA|NA|NA|NA
5052|99616|8|NA|1|NA|Crisis social, humanitaria y económica agudizadas por la pandemia y medidas que debemos tomar para superarla ¿Cómo evitamos que el 2021 sea otro 2020?|NA|116|128|FALSE|covid 19|NA|NA|NA|NA|NA|NA|NA|NA
