id,control_politico_id,persona_id,asistencia_id,tipo_citado,activo,usercreated,usermodifed,created_at,updated_at
118,5117,16248,NA,0,1,NA,NA,NA,NA
119,5117,16413,NA,0,1,NA,NA,NA,NA
120,5117,16898,NA,0,1,NA,NA,NA,NA
121,5117,16987,NA,0,1,NA,NA,NA,NA
122,5117,17033,NA,0,1,NA,NA,NA,NA
123,5117,17108,NA,0,1,NA,NA,NA,NA
124,5117,17109,NA,0,1,NA,NA,NA,NA
125,5117,15206,NA,0,1,NA,NA,NA,NA
126,5116,16703,NA,0,1,NA,NA,NA,NA
127,5116,16920,NA,1,1,NA,NA,NA,NA
128,5116,16935,NA,0,1,NA,NA,NA,NA
129,5115,16703,NA,0,1,NA,NA,NA,NA
130,5115,16916,NA,1,1,NA,NA,NA,NA
131,5115,16935,NA,0,1,NA,NA,NA,NA
132,5115,17107,NA,1,1,NA,NA,NA,NA
133,5115,17110,NA,0,1,NA,NA,NA,NA
134,5115,17234,NA,0,1,NA,NA,NA,NA
135,5115,17252,NA,0,1,NA,NA,NA,NA
136,5114,16703,NA,0,1,NA,NA,NA,NA
137,5114,16914,NA,1,1,NA,NA,NA,NA
138,5114,17110,NA,0,1,NA,NA,NA,NA
139,5114,17240,NA,1,1,NA,NA,NA,NA
140,5114,17274,NA,0,1,NA,NA,NA,NA
141,5110,16525,NA,1,1,NA,NA,NA,NA
142,5110,17001,NA,0,1,NA,NA,NA,NA
143,5110,17070,NA,1,1,NA,NA,NA,NA
144,5110,15130,NA,1,1,NA,NA,NA,NA
145,5110,17210,NA,1,1,NA,NA,NA,NA
146,5110,17228,NA,1,1,NA,NA,NA,NA
147,5110,17205,NA,1,1,NA,NA,NA,NA
148,5110,17270,NA,1,1,NA,NA,NA,NA
149,5109,14659,1,0,1,NA,NA,NA,NA
150,5109,17114,1,0,1,NA,NA,NA,NA
151,5108,15243,1,1,1,NA,NA,NA,NA
152,5108,16935,NA,0,1,NA,NA,NA,NA
153,5108,16987,2,1,1,NA,NA,NA,NA
154,5108,16993,1,1,1,NA,NA,NA,NA
155,5108,17125,1,1,1,NA,NA,NA,NA
156,5108,17233,1,1,1,NA,NA,NA,NA
157,5108,17205,1,1,1,NA,NA,NA,NA
158,5108,16836,2,1,1,NA,NA,NA,NA
159,5107,16935,2,0,1,NA,NA,NA,NA
160,5107,16904,2,1,1,NA,NA,NA,NA
161,5107,17110,NA,0,1,NA,NA,NA,NA
162,5107,17116,2,1,1,NA,NA,NA,NA
163,5105,16703,NA,0,1,NA,NA,NA,NA
164,5105,16916,NA,1,1,NA,NA,NA,NA
165,5105,16935,NA,0,1,NA,NA,NA,NA
166,5105,17107,NA,1,1,NA,NA,NA,NA
167,5105,17110,NA,0,1,NA,NA,NA,NA
168,5105,17234,NA,0,1,NA,NA,NA,NA
169,5105,17252,NA,0,1,NA,NA,NA,NA
170,5104,16938,NA,1,1,NA,NA,NA,NA
171,5104,17205,NA,1,1,NA,NA,NA,NA
172,5104,17251,NA,1,1,NA,NA,NA,NA
173,5102,14659,NA,1,1,NA,NA,NA,NA
174,5102,16703,NA,0,1,NA,NA,NA,NA
175,5102,16935,NA,0,1,NA,NA,NA,NA
176,5102,16959,NA,1,1,NA,NA,NA,NA
177,5102,17095,NA,1,1,NA,NA,NA,NA
178,5102,17110,NA,0,1,NA,NA,NA,NA
179,5102,17119,NA,1,1,NA,NA,NA,NA
180,5102,17234,NA,0,1,NA,NA,NA,NA
