id,proyecto_ley_estado_id,comision_id,activo,usercreated,usermodifed,created_at,updated_at
164,30667,1,1,NA,NA,NA,NA
165,30685,3,1,NA,NA,NA,NA
6254,34991,1,1,NA,NA,NA,NA
167,30676,11,1,NA,NA,NA,NA
6255,35067,1,1,NA,NA,NA,NA
6256,35482,1,1,NA,NA,NA,NA
171,30662,4,1,NA,NA,NA,NA
172,30718,1,1,NA,NA,NA,NA
173,30182,10,1,NA,NA,NA,NA
175,30740,6,1,NA,NA,NA,NA
6257,29193,4,1,NA,NA,NA,NA
177,30641,2,1,NA,NA,NA,NA
178,30641,14,1,NA,NA,NA,NA
179,30642,1,1,NA,NA,NA,NA
180,30595,12,1,NA,NA,NA,NA
181,30595,13,1,NA,NA,NA,NA
182,30750,12,1,NA,NA,NA,NA
183,30596,1,1,NA,NA,NA,NA
184,30649,1,1,NA,NA,NA,NA
185,30729,1,1,NA,NA,NA,NA
186,30636,2,1,NA,NA,NA,NA
187,30588,1,1,NA,NA,NA,NA
188,30644,8,1,NA,NA,NA,NA
189,30645,8,1,NA,NA,NA,NA
190,30652,6,1,NA,NA,NA,NA
191,30637,2,1,NA,NA,NA,NA
192,30589,11,1,NA,NA,NA,NA
193,30591,12,1,NA,NA,NA,NA
194,30576,1,1,NA,NA,NA,NA
195,30578,14,1,NA,NA,NA,NA
196,30654,11,1,NA,NA,NA,NA
197,30575,13,1,NA,NA,NA,NA
198,30764,13,1,NA,NA,NA,NA
199,30600,12,1,NA,NA,NA,NA
200,30250,12,1,NA,NA,NA,NA
201,30465,13,1,NA,NA,NA,NA
203,30562,12,1,NA,NA,NA,NA
204,30543,7,1,NA,NA,NA,NA
6258,36878,12,1,NA,NA,NA,NA
6259,36880,13,1,NA,NA,NA,NA
207,30544,7,1,NA,NA,NA,NA
208,30655,1,1,NA,NA,NA,NA
209,30530,1,1,NA,NA,NA,NA
6264,36882,12,1,NA,NA,NA,NA
211,30523,7,1,NA,NA,NA,NA
6265,36884,7,1,NA,NA,NA,NA
213,30529,1,1,NA,NA,NA,NA
214,30582,7,1,NA,NA,NA,NA
215,30574,1,1,NA,NA,NA,NA
6266,3146,7,1,NA,NA,NA,NA
217,30556,2,1,NA,NA,NA,NA
218,30554,14,1,NA,NA,NA,NA
219,30553,14,1,NA,NA,NA,NA
220,30555,14,1,NA,NA,NA,NA
221,30430,7,1,NA,NA,NA,NA
222,30499,1,1,NA,NA,NA,NA
223,30577,14,1,NA,NA,NA,NA
13618,44652,2,1,NA,NA,NA,NA
225,30500,1,1,NA,NA,NA,NA
13674,41444,3,1,NA,NA,NA,NA
227,30690,4,1,NA,NA,NA,NA
13736,44725,1,1,NA,NA,NA,NA
