id|votacion_id|proyecto_ley_estado_id|activo|usercreated|usermodifed|created_at|updated_at
542|2372|27312|1|NA|NA|NA|NA
116738|8597|42354|1|NA|NA|NA|NA
14797|7436|37000|1|NA|NA|NA|NA
61448|7821|40480|1|NA|NA|NA|NA
548|2378|27313|1|NA|NA|NA|NA
549|2379|27313|1|NA|NA|NA|NA
550|2380|27313|1|NA|NA|NA|NA
61449|7822|40480|1|NA|NA|NA|NA
61450|7823|40480|1|NA|NA|NA|NA
64851|9656|44057|1|NA|NA|NA|NA
555|2369|25271|1|NA|NA|NA|NA
557|2373|27312|1|NA|NA|NA|NA
559|2754|25423|1|NA|NA|NA|NA
560|2758|25423|1|NA|NA|NA|NA
63162|10544|46205|1|NA|NA|NA|NA
63163|10265|46128|1|NA|NA|NA|NA
63164|10263|46128|1|NA|NA|NA|NA
63165|10636|46683|1|NA|NA|NA|NA
587|3001|27878|1|NA|NA|NA|NA
597|2794|28034|1|NA|NA|NA|NA
608|2795|28034|1|NA|NA|NA|NA
624|3751|29165|1|NA|NA|NA|NA
628|2006|25065|1|NA|NA|NA|NA
629|2009|25065|1|NA|NA|NA|NA
641|1997|25065|1|NA|NA|NA|NA
16775|5994|27864|1|NA|NA|NA|NA
666|2483|28550|1|NA|NA|NA|NA
16776|1904|27243|1|NA|NA|NA|NA
672|1709|25218|1|NA|NA|NA|NA
673|1709|25164|1|NA|NA|NA|NA
674|2360|25057|1|NA|NA|NA|NA
675|3535|27855|1|NA|NA|NA|NA
16777|1906|27243|1|NA|NA|NA|NA
16778|1905|27243|1|NA|NA|NA|NA
16779|1902|27243|1|NA|NA|NA|NA
698|2361|25057|1|NA|NA|NA|NA
16780|1901|27243|1|NA|NA|NA|NA
16781|1903|27243|1|NA|NA|NA|NA
114625|11467|48502|1|NA|NA|NA|NA
114626|11466|48502|1|NA|NA|NA|NA
114627|11468|48502|1|NA|NA|NA|NA
63167|10230|46128|1|NA|NA|NA|NA
56319|2180|28522|1|NA|NA|NA|NA
56320|2179|28522|1|NA|NA|NA|NA
56321|2181|28522|1|NA|NA|NA|NA
737|1705|25218|1|NA|NA|NA|NA
738|1705|25164|1|NA|NA|NA|NA
789|3566|29993|1|NA|NA|NA|NA
795|2391|28155|1|NA|NA|NA|NA
796|2392|28155|1|NA|NA|NA|NA
797|2393|28155|1|NA|NA|NA|NA
