id,nombre
101,"Atención: Detenido por peculado por apropiación en beneficio propio, fraude procesal, prevaricato por omisión, obtención de documento público falso, prevaricato por acción, concierto para delinquir"
112,Atención: Condenado por tráfico de influencias.
114,Atención: Con orden de captura por presuntos nexos con grupos paramilitares.
115,Atención: Llamado a juicio por presunto delito de peculado por apropiación.
90,Atención: No se halló mérito para continuar la investigación por supuestos nexos con GAI. Auto inhibitorio de la CSJ por supuestos malos manejos en la DNE. Archivada la investigación disciplinaria.
116,Atención: desestimada investigación preliminar por posibles nexos con GAI y con investigación por posible conflicto de interés.
117,Atención: Auto inhibitorio en investigación por supuestos nexos con grupos al margen de la ley y con denuncia por concusión.
118,Atención: Con investigación preliminar por supuestos nexos con grupos al margen de la ley e investigado por presunta celebración indebida de contratos.
119,Atención: Archivada investigación por supuestos nexos con grupos armados ilegales y con investigación preliminar por posible conflicto de interés.
122,Atención: detenido por supuestos nexos con GAI e investigado por fraude procesal
124,Atención: Con investigación preliminar por supuestos malos manejos en la DNE.
125,Atención: Llamado a indagatoria por presunto tráfico de influencias
126,Atención: Detenido por presunto concierto para delinquir agravado y homicidio en calidad de determinador.
109,Atención: Archivada investigación preliminar por posible conflicto de intereses en la elección del Procurador.
75,Atención: Sanción disciplinaria por irregularidades en contratación.
56,"Atención: Archivada investigación por supuestos nexos con grupos armados ilegales, en indagación preliminar por caso Saludcoop y absuelta por interceptaciones ilegales del DAS"
130,Atención: Pérdida de investidura y sanción disciplinaria por tráfico de influencias
131,Atención: Investigado por el delito de peculado por apropiación
133,Atención: Absuelto por concierto para delinquir
134,Atención: Pérdida de curul por nulidad electoral
135,"Atención: Detenido por concierto para delinquir, tráfico de estupefacientes y homicidio en grado de tentativa"
137,Atención: En libertad por vencimiento de términos
136,"Atención: Detenido por cohecho, peculado y falsedad en documento público."
138,Atención: Investigado por presunto delito de indebida destinación de dineros públicos
139,Atención: Condenado por fraude electoral
140,Atención: Revocada la pérdida de investidura por violación al régimen de inhabilidades.
141,Atención: Corte Constitucional dejó sin efectos pérdida de investidura
142,Atención: Detenido por presuntos delitos de concierto para delinquir y cohecho.
148,Atención: con orden de captura por los delitos de peculado y cohecho
121,Atención: Condenado por nexos con grupos armados ilegales. Silla vacía.
149,Atención: absuelta en la investigación por celebración indebida de contratos
150,Atención: archivada investigación por supuestos manejos indebidos en la Dirección Nacional de Estupefacientes.
151,"Atención: detenido en investigación preliminar por concierto para delinquir, retención y posesión ilícita de cédulas, entre otros delitos."
152,Atención: investigado por uso de falsos testigos
153,Atención: Condenado por tráfico de influencias y el cohecho
154,Atención: anulada su elección como congresista
156,"Atención: Indagación preliminar por parte de la Corte Suprema de Justicia por ""mermelada""."
180,Atención: Con indagaciones preliminares por parte de la Corte Suprema de Justicia.
181,Atención: Investigado por nexos con el paramilitarismo.
190,Atención: Archivada investigación por presunto desfalco al DNE.
191,Atención: Investigada por delitos electorales.
197,Atención: Archivado proceso por parapolítica.
203,Atención: Investigado por la Procuraduría por irregularides en contratos.
207,Atención: Investigado por supuestos delitos electorales.
209,Atención: Investigado por detrimento al patrimonio público.
217,Atención: Investigado por uso indebido de recursos públicos.
224,Atención: Invalidada la inhabilidad política que tenía.
226,Atención: declarado inocente del cargo de peculado por apropiación.
5,Atención: Llamado a versión libre por supuestos nexos con grupos armados ilegales.
228,Atención: pérdida de investidura por violación de los topes máximos de financiación de campaña electoral
229,Atención: levantada la suspensión de su condición de congresista
230,Atención: investigado por delitos de soborno en actuación penal en concurso con fraude procesal
232,Atención: investigado por corrupción
233,Atención: investigado por posible violación al régimen de inhabilidades
213,Atención: Investigado por el CNE por irregularidades en campaña electoral.
