id,fecha,fecha_realizada,comentarios,cuatrienio_id,realizado,activo,usercreated,usermodifed,created_at,updated_at
9453,19/04/2017 15:00,19/04/2017,Se aprobó el acta 23 de 2017 correspondiente a marzo 28,7,NA,1,NA,NA,NA,NA
9374,28/03/2017 20:00,28/03/2017,NA,7,NA,1,NA,NA,NA,NA
9474,26/04/2017 14:00,NA,NA,7,NA,1,NA,NA,NA,NA
9423,18/04/2017 15:00,18/04/2017,NA,7,NA,1,NA,NA,NA,NA
9421,18/04/2017 15:00,18/04/2017,NA,7,NA,1,NA,NA,NA,NA
9460,25/04/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9438,18/04/2017 16:00,18/04/2017,NA,7,NA,1,NA,NA,NA,NA
9451,19/04/2017 14:30,NA,NA,7,NA,1,NA,NA,NA,NA
9416,05/04/2017 14:00,05/04/2017,NA,7,NA,1,NA,NA,NA,NA
9384,28/03/2017 15:00,28/03/2017,NA,7,NA,1,NA,NA,NA,NA
9445,18/04/2017 15:00,18/04/2017,NA,7,NA,1,NA,NA,NA,NA
9472,26/04/2017 15:00,26/04/2017,NA,7,NA,1,NA,NA,NA,NA
9486,02/05/2017 15:00,02/05/2017,NA,7,NA,1,NA,NA,NA,NA
9476,27/04/2017 15:30,27/04/2017,NA,7,NA,1,NA,NA,NA,NA
9487,03/05/2017 14:00,03/05/2017,NA,7,NA,1,NA,NA,NA,NA
9454,26/04/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9431,20/04/2017 15:00,20/04/2017,NA,7,NA,1,NA,NA,NA,NA
9467,26/04/2017 14:30,NA,"Se modificó y no se hizo el debate, sino que se discutieron proyectos de ley",7,NA,1,NA,NA,NA,NA
9440,19/04/2017 13:30,19/04/2017,NA,7,NA,1,NA,NA,NA,NA
9455,25/04/2017 15:00,25/04/2017,NA,7,NA,1,NA,NA,NA,NA
9469,26/04/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9473,26/04/2017 14:30,NA,NA,7,NA,1,NA,NA,NA,NA
9464,26/04/2017 14:00,NA,Citación plenaria a la misma hora.,7,NA,1,NA,NA,NA,NA
9482,26/04/2017 14:00,NA,NA,7,NA,1,NA,NA,NA,NA
9478,26/04/2017 15:00,26/04/2017,NA,7,NA,1,NA,NA,NA,NA
9485,03/05/2017 13:00,03/05/2017,NA,7,NA,1,NA,NA,NA,NA
9405,04/04/2017 15:00,04/04/2017,NA,7,NA,1,NA,NA,NA,NA
9461,25/04/2017 14:01,25/04/2017,NA,7,NA,1,NA,NA,NA,NA
9420,05/04/2017 15:00,05/04/2017,NA,7,NA,1,NA,NA,NA,NA
9398,04/04/2017 15:00,04/04/2017,NA,7,NA,1,NA,NA,NA,NA
9411,04/04/2017 19:00,04/04/2017,NA,7,NA,1,NA,NA,NA,NA
9404,03/04/2017 19:00,03/04/2017,NA,7,NA,1,NA,NA,NA,NA
9479,26/04/2017 20:00,26/04/2017,NA,7,NA,1,NA,NA,NA,NA
9477,26/04/2017 15:00,26/04/2017,NA,7,NA,1,NA,NA,NA,NA
9408,05/04/2017 15:00,05/04/2017,NA,7,NA,1,NA,NA,NA,NA
9466,25/04/2017 19:00,25/04/2017,Duplicado,7,NA,1,NA,NA,NA,NA
9475,27/04/2017 13:30,27/04/2017,NA,7,NA,1,NA,NA,NA,NA
