id,proyecto_ley_id,congresista_id,activo,usercreated,usermodifed,created_at,updated_at
11576,4308,25,1,,,,
11577,4308,595,1,,,,
11578,4308,1026,1,,,,
11579,4309,304,1,,,,
11580,4309,25,1,,,,
11581,4309,1026,1,,,,
11582,4310,28,1,,,,
11584,4312,25,1,,,,
11585,4312,876,1,,,,
11586,4312,906,1,,,,
11587,4313,304,1,,,,
11588,4313,643,1,,,,
11589,4313,686,1,,,,
11590,4313,731,1,,,,
11592,4313,973,1,,,,
11593,4313,1035,1,,,,
11594,4314,391,1,,,,
11596,4314,447,1,,,,
11597,4314,661,1,,,,
11600,4314,776,1,,,,
11601,4314,70,1,,,,
11603,4314,966,1,,,,
11604,4314,973,1,,,,
11605,4314,1035,1,,,,
11607,4316,391,1,,,,
11608,4316,20,1,,,,
11609,4316,643,1,,,,
11611,4316,956,1,,,,
11612,4316,973,1,,,,
11613,4316,1035,1,,,,
11614,4317,6,1,,,,
11615,4317,391,1,,,,
11616,4317,643,1,,,,
11617,4317,686,1,,,,
11619,4317,956,1,,,,
11620,4317,973,1,,,,
11621,4317,1035,1,,,,
11622,4318,391,1,,,,
11623,4318,20,1,,,,
11624,4318,468,1,,,,
11625,4318,50,1,,,,
11626,4318,643,1,,,,
11628,4318,973,1,,,,
11629,4318,1035,1,,,,
11630,4319,304,1,,,,
11631,4319,6,1,,,,
11632,4319,391,1,,,,
11633,4319,50,1,,,,
11634,4319,643,1,,,,
11636,4319,973,1,,,,
11637,4319,1035,1,,,,
11638,4321,6,1,,,,
11639,4321,443,1,,,,
11640,4321,511,1,,,,
11641,4321,738,1,,,,
11642,4321,806,1,,,,
11643,4321,808,1,,,,
11644,4321,810,1,,,,
11645,4321,876,1,,,,
11659,4322,104,1,,,,
11660,4323,435,1,,,,
11661,4323,28,1,,,,
11662,4323,505,1,,,,
11663,4323,604,1,,,,
11664,4323,738,1,,,,
11666,4323,820,1,,,,
11667,4323,834,1,,,,
11668,4323,963,1,,,,
11669,4323,992,1,,,,
11670,4324,329,1,,,,
11671,4324,6,1,,,,
11673,4324,733,1,,,,
11674,4324,738,1,,,,
11675,4324,774,1,,,,
11677,4325,769,1,,,,
11678,4325,695,1,,,,
11679,4325,595,1,,,,
11681,4325,337,1,,,,
11682,4325,335,1,,,,
11683,4325,333,1,,,,
11684,4325,309,1,,,,
11686,4326,915,1,,,,
11687,4326,769,1,,,,
11688,4326,695,1,,,,
11689,4326,595,1,,,,
11691,4326,337,1,,,,
11692,4326,333,1,,,,
11693,4326,309,1,,,,
11694,4327,333,1,,,,
11695,4327,336,1,,,,
11696,4327,337,1,,,,
11697,4327,422,1,,,,
11699,4327,595,1,,,,
11700,4327,695,1,,,,
11701,4327,769,1,,,,
11702,4327,925,1,,,,
11704,4328,345,1,,,,
11705,4328,414,1,,,,
11706,4328,431,1,,,,
11707,4328,615,1,,,,
11708,4328,724,1,,,,
11710,4328,192,1,,,,
11711,4328,811,1,,,,
11712,4328,210,1,,,,
11713,4328,885,1,,,,
11714,4329,345,1,,,,
11715,4329,411,1,,,,
11716,4329,417,1,,,,
11717,4329,606,1,,,,
11718,4329,615,1,,,,
11719,4329,665,1,,,,
11720,4329,670,1,,,,
11721,4329,181,1,,,,
11722,4329,726,1,,,,
11723,4329,763,1,,,,
11724,4329,769,1,,,,
11726,4329,210,1,,,,
11727,4329,831,1,,,,
11728,4329,849,1,,,,
11729,4329,915,1,,,,
11731,4330,411,1,,,,
11732,4330,417,1,,,,
11733,4330,435,1,,,,
11734,4330,505,1,,,,
11735,4330,606,1,,,,
11736,4330,611,1,,,,
11737,4330,629,1,,,,
11738,4330,665,1,,,,
11739,4330,181,1,,,,
11740,4330,689,1,,,,
11742,4330,831,1,,,,
11743,4330,902,1,,,,
11744,4330,93,1,,,,
11745,4331,344,1,,,,
11746,4331,345,1,,,,
11747,4331,9,1,,,,
11748,4331,490,1,,,,
11749,4331,505,1,,,,
11750,4331,192,1,,,,
11751,4331,763,1,,,,
11752,4331,820,1,,,,
11753,4332,345,1,,,,
11754,4332,414,1,,,,
11755,4332,430,1,,,,
11756,4332,615,1,,,,
11757,4332,726,1,,,,
11758,4332,745,1,,,,
11759,4332,192,1,,,,
11760,4332,763,1,,,,
11761,4332,74,1,,,,
11762,4332,957,1,,,,
11763,4333,370,1,,,,
11764,4333,433,1,,,,
11765,4333,644,1,,,,
11766,4333,726,1,,,,
11768,4333,834,1,,,,
11769,4333,849,1,,,,
11770,4333,74,1,,,,
11772,4333,1004,1,,,,
11773,4334,4,1,,,,
11775,4334,590,1,,,,
11776,4334,642,1,,,,
11777,4334,806,1,,,,
11778,4334,566,1,,,,
11779,4334,828,1,,,,
11780,4335,333,1,,,,
11781,4335,337,1,,,,
11782,4335,499,1,,,,
11783,4335,642,1,,,,
11784,4335,655,1,,,,
11785,4335,663,1,,,,
11786,4335,695,1,,,,
11787,4335,192,1,,,,
11788,4335,828,1,,,,
11789,4335,856,1,,,,
11790,4335,863,1,,,,
11791,4335,904,1,,,,
11792,4335,92,1,,,,
11793,4336,312,1,,,,
11795,4336,615,1,,,,
11796,4336,726,1,,,,
11797,4336,763,1,,,,
11798,4336,769,1,,,,
11799,4336,849,1,,,,
11803,4337,655,1,,,,
11804,4337,192,1,,,,
11805,4337,904,1,,,,
11806,4136,414,1,,,,
11807,4136,192,1,,,,
11808,4137,192,1,,,,
11809,4138,769,1,,,,
11810,4139,542,1,,,,
11811,4140,690,1,,,,
11812,4141,644,1,,,,
11813,4142,615,1,,,,
11814,4144,374,1,,,,
11815,4145,940,1,,,,
11816,4146,336,1,,,,
11817,4146,646,1,,,,
11818,4146,665,1,,,,
11819,4146,727,1,,,,
11820,4146,834,1,,,,
11821,4146,963,1,,,,
11822,4147,850,1,,,,
11823,4149,192,1,,,,
11824,4150,850,1,,,,
11826,4152,765,1,,,,
11827,4153,884,1,,,,
11828,4154,384,1,,,,
11829,4155,850,1,,,,
11830,4156,6,1,,,,
11831,4157,774,1,,,,
11833,4158,25,1,,,,
11834,4159,25,1,,,,
11835,4160,25,1,,,,
11836,4161,391,1,,,,
11840,4162,58,1,,,,
11841,4163,329,1,,,,
11842,4163,25,1,,,,
11843,4163,643,1,,,,
11845,4163,766,1,,,,
11846,4163,806,1,,,,
11847,4163,906,1,,,,
11849,4164,973,1,,,,
11850,4166,70,1,,,,
11851,4167,734,1,,,,
11852,4168,734,1,,,,
11853,4169,734,1,,,,
11854,4170,734,1,,,,
11855,4171,511,1,,,,
11856,4171,631,1,,,,
11857,4171,734,1,,,,
11858,4172,734,1,,,,
11859,4173,734,1,,,,
11861,4174,734,1,,,,
11862,4176,734,1,,,,
11863,4177,734,1,,,,
11864,4178,774,1,,,,
11865,4179,829,1,,,,
11866,4182,6,1,,,,
11867,4182,709,1,,,,
11868,4182,842,1,,,,
11869,4184,709,1,,,,
11870,4185,973,1,,,,
11871,4186,734,1,,,,
11872,4187,734,1,,,,
11873,4189,776,1,,,,
11875,4190,47,1,,,,
11876,4191,776,1,,,,
11877,4192,657,1,,,,
11878,4193,657,1,,,,
11879,4195,6,1,,,,
11880,4195,842,1,,,,
11881,4196,1007,1,,,,
11882,4197,467,1,,,,
11883,4197,963,1,,,,
11884,4199,1007,1,,,,
11885,4200,686,1,,,,
11886,4201,973,1,,,,
11887,4202,425,1,,,,
11888,4202,475,1,,,,
11889,4203,70,1,,,,
11890,4204,444,1,,,,
11891,4204,774,1,,,,
11892,4204,776,1,,,,
11893,4205,388,1,,,,
11894,4210,374,1,,,,
11895,4211,808,1,,,,
11896,4212,973,1,,,,
11897,4213,959,1,,,,
11898,4214,511,1,,,,
11899,4215,25,1,,,,
11900,4216,973,1,,,,
11901,4217,973,1,,,,
11902,4218,906,1,,,,
11903,4219,906,1,,,,
11904,4220,906,1,,,,
11905,4221,734,1,,,,
11906,4222,734,1,,,,
11908,4227,378,1,,,,
11909,4228,25,1,,,,
11910,4231,766,1,,,,
11911,4232,842,1,,,,
11912,4234,661,1,,,,
11914,4236,738,1,,,,
11915,4237,471,1,,,,
11916,4237,709,1,,,,
11917,4237,738,1,,,,
11918,4237,842,1,,,,
11919,4237,879,1,,,,
11920,4237,947,1,,,,
11921,4238,738,1,,,,
11923,4240,883,1,,,,
11924,4241,388,1,,,,
11925,4242,618,1,,,,
11927,4244,438,1,,,,
11928,4245,734,1,,,,
11929,4245,906,1,,,,
11930,4246,734,1,,,,
11931,4246,906,1,,,,
11932,4248,712,1,,,,
11933,4248,806,1,,,,
11934,4249,1035,1,,,,
11935,4250,808,1,,,,
11936,4250,973,1,,,,
11938,4253,629,1,,,,
11939,4255,690,1,,,,
11941,4257,781,1,,,,
11942,4258,99,1,,,,
11943,4262,6,1,,,,
11944,4266,1035,1,,,,
11945,4267,708,1,,,,
11946,4268,25,1,,,,
11948,4268,766,1,,,,
11949,4269,973,1,,,,
11950,4270,842,1,,,,
11951,4276,808,1,,,,
11952,4277,956,1,,,,
11953,4278,956,1,,,,
11954,4280,207,1,,,,
11955,4283,631,1,,,,
11956,4283,661,1,,,,
11957,4284,708,1,,,,
11958,4284,806,1,,,,
11959,4287,973,1,,,,
11960,4289,948,1,,,,
11961,4290,834,1,,,,
11962,4290,963,1,,,,
11963,4291,371,1,,,,
11964,4292,371,1,,,,
11965,4296,304,1,,,,
11966,4299,1007,1,,,,
11967,4303,192,1,,,,
11974,4343,948,1,,,,
11975,4344,417,1,,,,
11976,4345,649,1,,,,
11977,4346,826,1,,,,
11978,4346,1009,1,,,,
11979,4347,431,1,,,,
11980,4348,47,1,,,,
11981,4349,93,1,,,,
11982,4350,706,1,,,,
11983,4351,337,1,,,,
11984,4351,493,1,,,,
11985,4351,504,1,,,,
11986,4351,631,1,,,,
11988,4351,787,1,,,,
11989,4351,831,1,,,,
11990,4351,854,1,,,,
11991,4352,192,1,,,,
11992,4353,471,1,,,,
11993,4354,493,1,,,,
11994,4355,407,1,,,,
11996,4357,769,1,,,,
11997,4359,896,1,,,,
11998,4361,20,1,,,,
12000,4362,734,1,,,,
12001,4364,47,1,,,,
12003,4367,91,1,,,,
12006,4369,70,1,,,,
12007,4370,703,1,,,,
12008,4370,718,1,,,,
12009,4372,733,1,,,,
12010,4373,906,1,,,,
12011,4375,733,1,,,,
12012,4376,578,1,,,,
12014,4377,304,1,,,,
12015,4379,578,1,,,,
12016,4382,606,1,,,,
12017,4383,734,1,,,,
12018,4384,874,1,,,,
12019,4387,906,1,,,,
12020,4388,710,1,,,,
12021,4391,925,1,,,,
12022,4392,457,1,,,,
12023,4393,47,1,,,,
12025,4397,734,1,,,,
12026,4399,734,1,,,,
12027,4401,734,1,,,,
12028,4403,708,1,,,,
12029,4404,323,1,,,,
12030,4405,618,1,,,,
12031,4406,657,1,,,,
12032,4411,906,1,,,,
12033,4416,834,1,,,,
12034,4416,963,1,,,,
12035,4418,419,1,,,,
12036,4420,58,1,,,,
12038,4428,344,1,,,,
12039,4430,91,1,,,,
12040,4432,834,1,,,,
12041,4432,963,1,,,,
12042,4434,874,1,,,,
12043,4435,388,1,,,,
12044,4435,604,1,,,,
12046,4435,657,1,,,,
12047,4435,693,1,,,,
12048,4435,731,1,,,,
12049,4435,746,1,,,,
12050,4435,796,1,,,,
12051,4435,70,1,,,,
12052,4435,820,1,,,,
12053,4435,841,1,,,,
12055,4435,947,1,,,,
12056,4435,956,1,,,,
12057,4435,992,1,,,,
12058,4435,1035,1,,,,
12060,4437,903,1,,,,
12067,4438,926,1,,,,
12068,4440,774,1,,,,
12069,4442,419,1,,,,
12070,4445,70,1,,,,
12071,4446,657,1,,,,
12072,4447,734,1,,,,
12073,4448,734,1,,,,
12075,4451,404,1,,,,
12076,4452,422,1,,,,
12077,4453,457,1,,,,
12078,4454,312,1,,,,
12080,4455,811,1,,,,
12081,4456,769,1,,,,
12082,4457,834,1,,,,
12083,4457,963,1,,,,
12084,4458,834,1,,,,
12085,4458,963,1,,,,
12086,4459,834,1,,,,
12087,4459,963,1,,,,
12088,4460,850,1,,,,
12089,4461,590,1,,,,
12090,4462,457,1,,,,
12091,4463,336,1,,,,
12092,4463,753,1,,,,
12093,4463,850,1,,,,
12094,4463,93,1,,,,
12095,4464,312,1,,,,
12096,4464,4,1,,,,
12097,4464,422,1,,,,
12099,4464,511,1,,,,
12101,4464,181,1,,,,
12102,4464,791,1,,,,
12103,4464,92,1,,,,
12104,4465,404,1,,,,
12105,4465,499,1,,,,
12106,4465,828,1,,,,
12107,4467,858,1,,,,
12108,4468,411,1,,,,
12110,4470,915,1,,,,
12112,4473,435,1,,,,
12113,4474,312,1,,,,
12114,4479,483,1,,,,
12115,4480,690,1,,,,
12116,4482,337,1,,,,
12119,4484,670,1,,,,
12120,4486,9,1,,,,
12121,4487,904,1,,,,
12123,4489,467,1,,,,
12124,4489,963,1,,,,
12126,4491,312,1,,,,
12127,4492,1009,1,,,,
