id,agenda_legislativa,comision_id,corporacion_id,activo,usercreated,usermodifed,created_at,updated_at
2563,9961,5,1,1,NA,NA,NA,NA
2564,9960,1,1,1,NA,NA,NA,NA
2565,9959,8,1,1,NA,NA,NA,NA
2566,9959,10,2,1,NA,NA,NA,NA
2567,9959,12,2,1,NA,NA,NA,NA
2568,9959,13,1,1,NA,NA,NA,NA
2569,9958,8,1,1,NA,NA,NA,NA
2570,9958,10,2,1,NA,NA,NA,NA
2571,9958,12,2,1,NA,NA,NA,NA
2572,9958,13,1,1,NA,NA,NA,NA
2573,9957,11,1,1,NA,NA,NA,NA
2574,9956,4,2,1,NA,NA,NA,NA
2575,9955,1,1,1,NA,NA,NA,NA
2576,9952,8,1,1,NA,NA,NA,NA
2577,9952,10,2,1,NA,NA,NA,NA
2578,9952,12,2,1,NA,NA,NA,NA
2579,9952,13,1,1,NA,NA,NA,NA
2580,9951,4,2,1,NA,NA,NA,NA
2581,9948,7,2,1,NA,NA,NA,NA
2582,9947,9,2,1,NA,NA,NA,NA
2583,9946,3,1,1,NA,NA,NA,NA
2584,9945,3,1,1,NA,NA,NA,NA
2585,9944,1,1,1,NA,NA,NA,NA
2586,9943,6,2,1,NA,NA,NA,NA
2587,9942,2,2,1,NA,NA,NA,NA
2588,9941,14,1,1,NA,NA,NA,NA
2589,9939,14,1,1,NA,NA,NA,NA
2590,9938,7,2,1,NA,NA,NA,NA
2591,9937,8,1,1,NA,NA,NA,NA
2592,9937,10,2,1,NA,NA,NA,NA
2593,9937,12,2,1,NA,NA,NA,NA
2594,9937,13,1,1,NA,NA,NA,NA
2595,9936,9,2,1,NA,NA,NA,NA
2596,9935,5,1,1,NA,NA,NA,NA
2597,9934,5,1,1,NA,NA,NA,NA
2598,9933,9,2,1,NA,NA,NA,NA
2599,9931,11,1,1,NA,NA,NA,NA
2600,9925,1,1,1,NA,NA,NA,NA
2601,9924,4,2,1,NA,NA,NA,NA
2602,9916,4,2,1,NA,NA,NA,NA
2603,9914,5,1,1,NA,NA,NA,NA
2604,9913,2,2,1,NA,NA,NA,NA
2605,9912,3,1,1,NA,NA,NA,NA
2606,9911,3,1,1,NA,NA,NA,NA
2607,9908,6,2,1,NA,NA,NA,NA
2608,9906,4,2,1,NA,NA,NA,NA
2609,9905,2,2,1,NA,NA,NA,NA
2610,9904,2,2,1,NA,NA,NA,NA
2611,9900,1,1,1,NA,NA,NA,NA
2612,9899,8,1,1,NA,NA,NA,NA
2613,9899,10,2,1,NA,NA,NA,NA
2614,9899,12,2,1,NA,NA,NA,NA
2615,9899,13,1,1,NA,NA,NA,NA
2616,9898,7,2,1,NA,NA,NA,NA
2617,9897,7,2,1,NA,NA,NA,NA
2618,9896,8,1,1,NA,NA,NA,NA
2619,9896,10,2,1,NA,NA,NA,NA
2620,9896,12,2,1,NA,NA,NA,NA
2621,9896,13,1,1,NA,NA,NA,NA
2622,9894,5,1,1,NA,NA,NA,NA
2623,9893,4,2,1,NA,NA,NA,NA
2624,9891,9,2,1,NA,NA,NA,NA
2625,9890,7,2,1,NA,NA,NA,NA
2626,9888,14,1,1,NA,NA,NA,NA
2627,9886,11,1,1,NA,NA,NA,NA
2628,9885,14,1,1,NA,NA,NA,NA
2629,9884,9,2,1,NA,NA,NA,NA
2630,9882,4,2,1,NA,NA,NA,NA
2631,9881,1,1,1,NA,NA,NA,NA
2632,9881,7,2,1,NA,NA,NA,NA
2633,9880,8,1,1,NA,NA,NA,NA
2634,9880,10,2,1,NA,NA,NA,NA
2635,9880,12,2,1,NA,NA,NA,NA
2636,9880,13,1,1,NA,NA,NA,NA
2637,9879,3,1,1,NA,NA,NA,NA
2638,9877,1,1,1,NA,NA,NA,NA
2639,9875,8,1,1,NA,NA,NA,NA
2640,9875,10,2,1,NA,NA,NA,NA
2641,9875,12,2,1,NA,NA,NA,NA
2642,9875,13,1,1,NA,NA,NA,NA
2643,9874,4,2,1,NA,NA,NA,NA
2644,9873,7,2,1,NA,NA,NA,NA
2645,9869,14,1,1,NA,NA,NA,NA
2646,9868,5,1,1,NA,NA,NA,NA
2647,9867,2,2,1,NA,NA,NA,NA
2648,9865,9,2,1,NA,NA,NA,NA
2649,9864,7,2,1,NA,NA,NA,NA
2650,9860,1,1,1,NA,NA,NA,NA
2651,9859,1,1,1,NA,NA,NA,NA
2652,9856,3,1,1,NA,NA,NA,NA
2653,9855,1,1,1,NA,NA,NA,NA
2654,9854,14,1,1,NA,NA,NA,NA
2655,9853,2,2,1,NA,NA,NA,NA
2656,9852,5,1,1,NA,NA,NA,NA
2657,9851,9,2,1,NA,NA,NA,NA
2658,9850,7,2,1,NA,NA,NA,NA
2659,9849,4,2,1,NA,NA,NA,NA
2660,9848,8,1,1,NA,NA,NA,NA
2661,9848,10,2,1,NA,NA,NA,NA
2662,9848,12,2,1,NA,NA,NA,NA
2663,9848,13,1,1,NA,NA,NA,NA
2664,9847,12,2,1,NA,NA,NA,NA
2665,9846,3,1,1,NA,NA,NA,NA
2666,9845,3,1,1,NA,NA,NA,NA
2667,9844,14,1,1,NA,NA,NA,NA
2668,9843,5,1,1,NA,NA,NA,NA
2669,9842,4,2,1,NA,NA,NA,NA
2670,9841,2,2,1,NA,NA,NA,NA
2671,9840,4,2,1,NA,NA,NA,NA
2672,9839,6,2,1,NA,NA,NA,NA
2673,9838,12,2,1,NA,NA,NA,NA
2674,9837,11,1,1,NA,NA,NA,NA
2675,9835,7,2,1,NA,NA,NA,NA
2676,9831,1,1,1,NA,NA,NA,NA
2677,9830,2,2,1,NA,NA,NA,NA
2678,9829,7,2,1,NA,NA,NA,NA
2679,9828,10,2,1,NA,NA,NA,NA
2680,9827,2,2,1,NA,NA,NA,NA
2681,9826,3,1,1,NA,NA,NA,NA
2682,9825,13,1,1,NA,NA,NA,NA
2683,9823,1,1,1,NA,NA,NA,NA
2684,9822,4,2,1,NA,NA,NA,NA
2685,9820,11,1,1,NA,NA,NA,NA
2686,9818,8,1,1,NA,NA,NA,NA
2687,9818,10,2,1,NA,NA,NA,NA
2688,9818,12,2,1,NA,NA,NA,NA
2689,9818,13,1,1,NA,NA,NA,NA
2690,9817,14,1,1,NA,NA,NA,NA
2691,9816,9,2,1,NA,NA,NA,NA
2692,9815,14,1,1,NA,NA,NA,NA
2693,9814,6,2,1,NA,NA,NA,NA
2694,9813,9,2,1,NA,NA,NA,NA
2695,9812,6,2,1,NA,NA,NA,NA
2696,9811,1,1,1,NA,NA,NA,NA
2697,9810,5,1,1,NA,NA,NA,NA
2698,9809,5,1,1,NA,NA,NA,NA
2699,9806,10,2,1,NA,NA,NA,NA
2700,9805,7,2,1,NA,NA,NA,NA
2701,9804,9,2,1,NA,NA,NA,NA
2702,9803,2,2,1,NA,NA,NA,NA
2703,9802,12,2,1,NA,NA,NA,NA
2704,9801,4,2,1,NA,NA,NA,NA
2705,9800,14,1,1,NA,NA,NA,NA
2706,9798,1,1,1,NA,NA,NA,NA
2707,9797,14,1,1,NA,NA,NA,NA
2708,9796,3,1,1,NA,NA,NA,NA
2709,9794,14,1,1,NA,NA,NA,NA
2710,9793,13,1,1,NA,NA,NA,NA
2711,9792,14,1,1,NA,NA,NA,NA
2712,9791,3,1,1,NA,NA,NA,NA
2713,9789,4,2,1,NA,NA,NA,NA
2714,9787,8,1,1,NA,NA,NA,NA
2715,9787,10,2,1,NA,NA,NA,NA
2716,9787,12,2,1,NA,NA,NA,NA
2717,9787,13,1,1,NA,NA,NA,NA
2718,9786,4,2,1,NA,NA,NA,NA
2719,9785,11,1,1,NA,NA,NA,NA
2720,9784,6,2,1,NA,NA,NA,NA
2721,9783,5,1,1,NA,NA,NA,NA
2722,9782,5,1,1,NA,NA,NA,NA
2723,9781,4,2,1,NA,NA,NA,NA
2724,9780,4,2,1,NA,NA,NA,NA
2725,9779,7,2,1,NA,NA,NA,NA
2726,9776,4,2,1,NA,NA,NA,NA
2727,9775,7,2,1,NA,NA,NA,NA
2728,9774,1,1,1,NA,NA,NA,NA
2729,9772,2,2,1,NA,NA,NA,NA
2730,9771,6,2,1,NA,NA,NA,NA
2731,9770,9,2,1,NA,NA,NA,NA
2732,9769,3,1,1,NA,NA,NA,NA
2733,9768,5,1,1,NA,NA,NA,NA
2734,9767,5,1,1,NA,NA,NA,NA
2735,9766,11,1,1,NA,NA,NA,NA
2736,9765,1,1,1,NA,NA,NA,NA
2737,9764,8,1,1,NA,NA,NA,NA
2738,9764,10,2,1,NA,NA,NA,NA
2739,9764,12,2,1,NA,NA,NA,NA
2740,9764,13,1,1,NA,NA,NA,NA
2741,9763,8,1,1,NA,NA,NA,NA
2742,9761,2,2,1,NA,NA,NA,NA
2743,9759,8,1,1,NA,NA,NA,NA
2744,9758,1,1,1,NA,NA,NA,NA
2745,9755,7,2,1,NA,NA,NA,NA
2746,9753,12,2,1,NA,NA,NA,NA
2747,9752,10,2,1,NA,NA,NA,NA
2748,9751,9,2,1,NA,NA,NA,NA
2749,9750,4,2,1,NA,NA,NA,NA
2750,9749,7,2,1,NA,NA,NA,NA
2751,9748,9,2,1,NA,NA,NA,NA
2752,9747,7,2,1,NA,NA,NA,NA
2753,9744,14,1,1,NA,NA,NA,NA
2754,9743,14,1,1,NA,NA,NA,NA
2755,9742,5,1,1,NA,NA,NA,NA
2756,9741,3,1,1,NA,NA,NA,NA
2757,9740,11,1,1,NA,NA,NA,NA
2758,9739,4,2,1,NA,NA,NA,NA
2759,9738,2,2,1,NA,NA,NA,NA
2760,9737,7,2,1,NA,NA,NA,NA
2761,9736,6,2,1,NA,NA,NA,NA
2762,9735,8,1,1,NA,NA,NA,NA
2763,9734,13,1,1,NA,NA,NA,NA
2764,9732,5,1,1,NA,NA,NA,NA
2765,9731,10,2,1,NA,NA,NA,NA
2766,9730,1,1,1,NA,NA,NA,NA
2767,9729,14,1,1,NA,NA,NA,NA
2768,9728,12,2,1,NA,NA,NA,NA
2769,9727,11,1,1,NA,NA,NA,NA
2770,9726,7,2,1,NA,NA,NA,NA
2771,9725,1,1,1,NA,NA,NA,NA
2772,9724,13,1,1,NA,NA,NA,NA
2773,9720,4,2,1,NA,NA,NA,NA
2774,9719,5,1,1,NA,NA,NA,NA
2775,9718,1,1,1,NA,NA,NA,NA
2776,9717,1,1,1,NA,NA,NA,NA
2777,9716,8,1,1,NA,NA,NA,NA
2778,9715,5,1,1,NA,NA,NA,NA
2779,9714,8,1,1,NA,NA,NA,NA
2780,9714,10,2,1,NA,NA,NA,NA
2781,9714,12,2,1,NA,NA,NA,NA
2782,9714,13,1,1,NA,NA,NA,NA
2783,9713,12,2,1,NA,NA,NA,NA
2784,9713,13,1,1,NA,NA,NA,NA
2785,9712,1,1,1,NA,NA,NA,NA
2786,9711,1,1,1,NA,NA,NA,NA
2787,9710,1,1,1,NA,NA,NA,NA
2788,9709,14,1,1,NA,NA,NA,NA
2789,9708,14,1,1,NA,NA,NA,NA
2790,9706,6,2,1,NA,NA,NA,NA
2791,9705,3,1,1,NA,NA,NA,NA
2792,9703,9,2,1,NA,NA,NA,NA
2793,9701,1,1,1,NA,NA,NA,NA
2794,9700,3,1,1,NA,NA,NA,NA
2795,9698,13,1,1,NA,NA,NA,NA
2796,9697,12,2,1,NA,NA,NA,NA
2797,9695,7,2,1,NA,NA,NA,NA
